     12 Ophelia bicornis	Polychaeta
     12 Ommastrephes bartramii	Cephalopoda
     12 Odonata	Insecta
     12 Ocythoe tuberculata	Cephalopoda
     12 Octopus vulgaris	Cephalopoda
     12 Octopus briareus	Cephalopoda
     12 Obelia	Hydrozoa
     12 Obelia geniculata	Hydrozoa
     12 Nyctiphanes capensis	Malacostraca
     12 Nyctiphanes australis	Malacostraca
     12 Nucula proxima	Bivalvia
     12 Nucula nucleus	Bivalvia
     12 Notomastus latericius	Polychaeta
     12 Neptunea antiqua	Gastropoda
     12 Nephtys incisa	Polychaeta
     12 Nephtys ciliata	Polychaeta
     12 Neomysis integer	Malacostraca
     12 Nematoscelis megalops	Malacostraca
     12 Nebalia bipes	Malacostraca
     12 Natica catena	Gastropoda
     12 Mytilus galloprovincialis	Bivalvia
     12 Mya arenaria	Bivalvia
     12 Musculus niger	Bivalvia
     12 Musculus discors	Bivalvia
     12 Munida rugosa	Malacostraca
     12 Monoculodes carinatus	Malacostraca
     12 Modiolus modiolus	Bivalvia
     12 Modiolus americanus	Bivalvia
     12 Mnemiopsis leidyi	Tentaculata
     12 Micronephthys minuta	Polychaeta
     12 Metoporhaphis calcarata	Malacostraca
     12 Metapenaeopsis dalei	Malacostraca
     12 Mesopodopsis slabberi	Malacostraca
     12 Mesonychoteuthis hamiltoni	Cephalopoda
     12 Mercenaria mercenaria	Bivalvia
     12 Menippe mercenaria	Malacostraca
     12 Menippe adina	Malacostraca
     12 Meganyctiphanes norvegica	Malacostraca
     12 Mastigoteuthis psychrophila	Cephalopoda
     12 Marphysa sanguinea	Polychaeta
     12 Maera loveni	Malacostraca
     12 Macropodia tenuirostris	Malacostraca
     12 Macropipus tuberculatus	Malacostraca
     12 Macrocoeloma trispinosum	Malacostraca
     12 Macoma nasuta	Bivalvia
     12 Macoma calcarea	Bivalvia
     12 Lycoteuthis lorigera	Cephalopoda
     12 Lutra lutra	Mammalia
     12 Lophogaster typicus	Malacostraca
     12 Loligo vulgaris	Cephalopoda
     12 Loligo illecebrosus	Cephalopoda
     12 Loligo forbesii	Cephalopoda
     12 Loimia medusa	Polychaeta
     12 Lithodes maja	Malacostraca
     12 Liocarcinus corrugatus	Malacostraca
     12 Leucothoe spinicarpa	Malacostraca
     12 Leptomysis gracilis	Malacostraca
     12 Lepidopleurus asellus	Polyplacophora
     12 Laurencia	Florideophyceae
     12 Latreutes parvulus	Malacostraca
     12 Lanice conchilega	Polychaeta
     12 Laevicardium mortoni	Bivalvia
     12 Kelletia kelletii	Gastropoda
     12 Jassa falcata	Malacostraca
     12 Illex argentinus	Cephalopoda
     12 Iliacantha subglobosa	Malacostraca
     12 Hyperia galba	Malacostraca
     12 Hymenodora glacialis	Malacostraca
     12 Hydroides elegans	Polychaeta
     12 Hyalinoecia tubicola	Polychaeta
     12 Homarus americanus	Malacostraca
     12 Holothuria poli	Holothuroidea
     12 Histioteuthis miranda	Cephalopoda
     12 Hippolyte zostericola	Malacostraca
     12 Heteromastus filiformis	Polychaeta
     12 Hepatus pudibundus	Malacostraca
     12 Hemigrapsus sanguineus	Malacostraca
     12 Hemigrapsus nudus	Malacostraca
     12 Harpinia antennaria	Malacostraca
     12 Harpacticoid	Maxillopoda
     12 Harmothoe impar	Polychaeta
     12 Haliphron atlanticus	Cephalopoda
     12 Haliotis rufescens	Gastropoda
     12 Haliotis midae	Gastropoda
     12 Haliotis cracherodii	Gastropoda
     12 Haliotis corrugata	Gastropoda
     12 Goniada maculata	Polychaeta
     12 Goniada emerita	Polychaeta
     12 Goneplax rhomboides	Malacostraca
     12 Gonatus steenstrupi	Cephalopoda
     12 Gonatus pyros	Cephalopoda
     12 Gonatus onyx	Cephalopoda
     12 Gonatus fabricii	Cephalopoda
     12 Gonatus californiensis	Cephalopoda
     12 Gonatus berryi	Cephalopoda
     12 Gonatus antarcticus	Cephalopoda
     12 Gonatopsis borealis	Cephalopoda
     12 Glyptonotus antarcticus	Malacostraca
     12 Glycinde nordmanni	Polychaeta
     12 Glycera tesselata	Polychaeta
     12 Geukensia demissa	Bivalvia
     12 Gari costulata	Bivalvia
     12 Gammarellus homari	Malacostraca
     12 Galiteuthis armata	Cephalopoda
     12 Galathea rostrata	Malacostraca
     12 Galathea dispersa	Malacostraca
     12 Gadus morhua	Actinopterygii
     12 Ficopomatus enigmaticus	Polychaeta
     12 Exogone dispar	Polychaeta
     12 Evadne nordmanni	Branchiopoda
     12 Eurypanopeus depressus	Malacostraca
     12 Eurydice pulchra	Malacostraca
     12 Euprymna morsei	Cephalopoda
     12 Euphausiidae	Malacostraca
     12 Euphausia superba	Malacostraca
     12 Euphausia similis	Malacostraca
     12 Euphausia pacifica	Malacostraca
     12 Euphausia lucens	Malacostraca
     12 Euphausia frigida	Malacostraca
     12 Euphausia crystallorophias	Malacostraca
     12 Euphausia americana	Malacostraca
     12 Eupentacta quinquesemita	Holothuroidea
     12 Eunice pennata	Polychaeta
     12 Eulalia viridis	Polychaeta
     12 Eukrohnia hamata	Sagittoidea
     12 Eucidaris tribuloides	Echinoidea
     12 Eucidaris	Echinoidea
     12 Eubalaena glacialis	Mammalia
     12 Eriocheir sinensis	Malacostraca
     12 Epimeria cornigera	Malacostraca
     12 Ensis ensis	Bivalvia
     12 Emerita talpoida	Malacostraca
     12 Eledone cirrhosa	Cephalopoda
     12 Elasmopus rapax	Malacostraca
     12 Echinometra viridis	Echinoidea
     12 Echinometra mathaei	Echinoidea
     12 Echinocyamus pusillus	Echinoidea
     12 Echinocardium cordatum	Echinoidea
     12 Dyopedos porrectus	Malacostraca
     12 Dreissena polymorpha	Bivalvia
     12 Dosidicus gigas	Cephalopoda
     12 Dorosoma cepedianum	Actinopterygii
     12 Diplocirrus glaucus	Polychaeta
     12 Diopatra ornata	Polychaeta
     12 Dinocardium robustum	Bivalvia
     12 Diastylis rathkei	Malacostraca
     12 Diadema antillarum	Echinoidea
     12 Diacria trispinosa	Gastropoda
     12 Dexamine spinosa	Malacostraca
     12 Dendronotus frondosus	Gastropoda
     12 Delphinus delphis	Mammalia
     12 Dardanus insignis	Malacostraca
     12 Dardanus arrosor	Malacostraca
     12 Cylichna cylindracea	Gastropoda
     12 Cylichna alba	Gastropoda
     12 Cyathura carinata	Malacostraca
     12 Cucumaria	Holothuroidea
     12 Crepidula fornicata	Gastropoda
     12 Crangon crangon	Malacostraca
     12 Crangon allmanni	Malacostraca
     12 Cossura longocirrata	Polychaeta
     12 Corophium	Malacostraca
     12 Codium fragile	Ulvophyceae
     12 Chrysaora quinquecirrha	Scyphozoa
     12 Chone infundibuliformis	Polychaeta
     12 Chloeia viridis	Polychaeta
     12 Chelyosoma productum	Ascidiacea
     12 Chamelea gallina	Bivalvia
     12 Chama macerophylla	Bivalvia
     12 Chaetozone setosa	Polychaeta
     12 Catatropis johnstoni	Trematoda
     12 Carpilius corallinus	Malacostraca
     12 Cancer pagurus	Malacostraca
     12 Calliopius laeviusculus	Malacostraca
     12 Callinectes similis	Malacostraca
     12 Callinectes danae	Malacostraca
     12 Callianassa gigas	Malacostraca
     12 Callianassa californiensis	Malacostraca
     12 Calappa flammea	Malacostraca
     12 Buccinum undatum	Gastropoda
     12 Bodotria scorpioides	Malacostraca
     12 Berryteuthis anonychus	Cephalopoda
     12 Beroe cucumis	Nuda
     12 Batoteuthis skolops	Cephalopoda
     12 Bathyarca glacialis	Bivalvia
     12 Axiognathus squamatus	Ophiuroidea
     12 Atelecyclus rotundatus	Malacostraca
     12 Astropecten irregularis	Asteroidea
     12 Astropecten duplicatus	Asteroidea
     12 Astarte procera	Bivalvia
     12 Astacilla longicornis	Malacostraca
     12 Assiminea	Gastropoda
     12 Arrhis phyllonyx	Malacostraca
     12 Argonauta argo	Cephalopoda
     12 Arenicola marina	Polychaeta
     12 Arenicola brasiliensis	Polychaeta
     12 Arenaeus cribrarius	Malacostraca
     12 Arbacia punctulata	Echinoidea
     12 Aphrodita aculeata	Polychaeta
     12 Anadara notabilis	Bivalvia
     12 Amphiura chiajei	Ophiuroidea
     12 Amphipoda	Malacostraca
     12 Ampharete acutifrons	Polychaeta
     12 Ampelisca vadorum	Malacostraca
     12 Ampelisca typica	Malacostraca
     12 Ampelisca spinipes	Malacostraca
     12 Ampelisca retangula	Malacostraca
     12 Ampelisca brevicornis	Malacostraca
     12 Alpheus armatus	Malacostraca
     12 Alluroteuthis antarcticus	Cephalopoda
     12 Albunea gibbesii	Malacostraca
     12 Aglaophamus circinata	Polychaeta
     12 Aglantha digitale	Hydrozoa
     12 Acropora nasuta	Anthozoa
     12 Acetes americanus	Malacostraca
     12 Acanthurus chirurgus	Teleostei
     12 Acanthoparyphium	Trematoda
     12 Acanthonotozoma inflatum	Malacostraca
     12 Acanthocarpus alexandri	Malacostraca
     12 Acanthephyra pelagica	Malacostraca
     12 Acanthaster planci	Asteroidea
     12 Abra prismatica	Bivalvia
     12 Abra nitida	Bivalvia
     12 Abra alba	Bivalvia
     11 Yoldia myalis	Bivalvia
     11 Yoldia hyperborea	Bivalvia
     11 Vitreledonella richardi	Cephalopoda
     11 Venus verrucosa	Bivalvia
     11 Upogebia major	Malacostraca
     11 Ucides cordatus	Malacostraca
     11 Tursiops truncatus	Mammalia
     11 Trachysalambria curvirostris	Malacostraca
     11 Thysanopoda orientalis	Malacostraca
     11 Thysanopoda obtusifrons	Malacostraca
     11 Thysanopoda monacantha	Malacostraca
     11 Thysanopoda aequalis	Malacostraca
     11 Themisto abyssorum	Malacostraca
     11 Terebellidae	Polychaeta
     11 Tanystylum orbiculare	Pycnogonida
     11 Systellaspis debilis	Malacostraca
     11 Synidotea laevidorsalis	Malacostraca
     11 Stylocheiron carinatum	Malacostraca
     11 Strongylocentrotus franciscanus	Echinoidea
     11 Sthenoteuthis pteropus	Cephalopoda
     11 Squilla mantis	Malacostraca
     11 Spirorbis spirorbis	Polychaeta
     11 Spiochaetopterus costarum	Polychaeta
     11 Sphaeromatidae	Malacostraca
     11 Solenocera membranacea	Malacostraca
     11 Solenocera crassicornis	Malacostraca
     11 Solenocera choprai	Malacostraca
     11 Solariella varicosa	Gastropoda
     11 Sigalionidae	Polychaeta
     11 Sicyonia carinata	Malacostraca
     11 Sergia robusta	Malacostraca
     11 Sepiolina nipponensis	Cephalopoda
     11 Sepiola rondeletii	Cephalopoda
     11 Sepiola birostrata	Cephalopoda
     11 Sepia pharaonis	Cephalopoda
     11 Sepia elegans	Cephalopoda
     11 Sepiadarium kochi	Cephalopoda
     11 Semirossia tenera	Cephalopoda
     11 Semirossia patagonica	Cephalopoda
     11 Scyllarus pygmaeus	Malacostraca
     11 Scyllarus arctus	Malacostraca
     11 Scyllarides elisabethae	Malacostraca
     11 Scaeurgus unicirrhus	Cephalopoda
     11 Saron marmoratus	Malacostraca
     11 Salpa fusiformis	Thaliacea
     11 Salmacina tribranchiata	Polychaeta
     11 Saduria entomon	Malacostraca
     11 Sabellidae	Polychaeta
     11 Rossia macrosoma	Cephalopoda
     11 Rhynchospio glutaea	Polychaeta
     11 Rhithropanopeus harrisii	Malacostraca
     11 Rhinolithodes wosnessenskii	Malacostraca
     11 Reinhardtius hippoglossoides	Actinopterygii
     11 Ranina ranina	Malacostraca
     11 Ranilia muricata	Malacostraca
     11 Pyrosoma atlanticum	Thaliacea
     11 Pycnogonids	Pycnogonida
     11 Puncturella galeata	Gastropoda
     11 Pterygioteuthis giardi	Cephalopoda
     11 Pterygioteuthis gemmata	Cephalopoda
     11 Pteria hirundo	Bivalvia
     11 Pseudeuphausia latifrons	Malacostraca
     11 Psammechinus miliaris	Echinoidea
     11 Processa guyanae	Malacostraca
     11 Procambarus clarkii	Malacostraca
     11 Praxillella gracilis	Polychaeta
     11 Portunus sanguinolentus	Malacostraca
     11 Portunus hastatus	Malacostraca
     11 Portunus anceps	Malacostraca
     11 Porites cylindrica	Anthozoa
     11 Porites compressa	Anthozoa
     11 Pocillopora elegans	Anthozoa
     11 Pleuroncodes planipes	Malacostraca
     11 Plesionika martia	Malacostraca
     11 Plesionika heterocarpus	Malacostraca
     11 Plesionika edwardsii	Malacostraca
     11 Pleoticus muelleri	Malacostraca
     11 Platynereis bicanaliculata	Polychaeta
     11 Planes minutus	Malacostraca
     11 Plagusia depressa	Malacostraca
     11 Pinnotheridae	Malacostraca
     11 Physophora hydrostatica	Hydrozoa
     11 Physeter macrocephalus	Mammalia
     11 Phyllochaetopterus socialis	Polychaeta
     11 Pholidoteuthis adami	Cephalopoda
     11 Philocheras trispinosus	Malacostraca
     11 Phaxas pellucidus	Bivalvia
     11 Percnon gibbesi	Malacostraca
     11 Pectinidae	Bivalvia
     11 Pectinariidae	Polychaeta
     11 Patinopecten caurinus	Bivalvia
     11 Pasiphaea multidentata	Malacostraca
     11 Parvicardium minimum	Bivalvia
     11 Parisocladus perforatus	Malacostraca
     11 Parapenaeopsis stylifera	Malacostraca
     11 Paraonidae	Polychaeta
     11 Paramysis helleri	Malacostraca
     11 Panulirus guttatus	Malacostraca
     11 Panopeus americanus	Malacostraca
     11 Pandalus tridens	Malacostraca
     11 Pandalus jordani	Malacostraca
     11 Pandalus goniurus	Malacostraca
     11 Palaemon pacificus	Malacostraca
     11 Palaemon macrodactylus	Malacostraca
     11 Palaemon gravieri	Malacostraca
     11 Palaemon elegans	Malacostraca
     11 Pachygrapsus plicatus	Malacostraca
     11 Pachygrapsus gracilis	Malacostraca
     11 Oweniidae	Polychaeta
     11 Owenia collaris	Polychaeta
     11 Ornithoteuthis volatilis	Cephalopoda
     11 Orconectes pellucidus	Malacostraca
     11 Orbiniidae	Polychaeta
     11 Oplophorus gracilirostris	Malacostraca
     11 Ophiodon elongatus	Actinopterygii
     11 Ophiocomina nigra	Ophiuroidea
     11 Opheliidae	Polychaeta
     11 Onykia carriboea	Cephalopoda
     11 Onuphidae	Polychaeta
     11 Oikopleura labradoriensis	Appendicularia
     11 Octopus joubini	Cephalopoda
     11 Octopus cyanea	Cephalopoda
     11 Octopoteuthis sicula	Cephalopoda
     11 Octopoteuthis deletron	Cephalopoda
     11 Nuculana pernula	Bivalvia
     11 Nototodarus gouldi	Cephalopoda
     11 Ninoe nigripes	Polychaeta
     11 Nephtys hystricis	Polychaeta
     11 Nephtyidae	Polychaeta
     11 Nephropsis stewarti	Malacostraca
     11 Nematoscelis atlantica	Malacostraca
     11 Nematocarcinus ensifer	Malacostraca
     11 Necora puber	Malacostraca
     11 Munnopsis typica	Malacostraca
     11 Modiolus barbatus	Bivalvia
     11 Mirounga angustirostris	Mammalia
     11 Metapenaeus monoceros	Malacostraca
     11 Metapenaeus affinis	Malacostraca
     11 Metapenaeopsis lamellata	Malacostraca
     11 Metapenaeopsis barbata	Malacostraca
     11 Metapenaeopsis acclivis	Malacostraca
     11 Melita dentata	Malacostraca
     11 Margarites pupillus	Gastropoda
     11 Mallotus villosus	Actinopterygii
     11 Majidae	Malacostraca
     11 Mactromeris polynyma	Bivalvia
     11 Macrocoeloma camptocerum	Malacostraca
