id	name	Anthozoa	Cnidaria_other	Polychaeta	Clitellata	Annelida_other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Mollusca_other	Brachiopoda	Ostracoda	Maxillopoda	Malacostraca	Insecta	Arthropoda_other	Ophiuroidea	Echinoidea	Holothuroidea	Echinodermata_other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Chordata_other	Animalia_other	Plantae	Categories_total	Categories_matched
96	Euthynnus affinis	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	29	10
97	Euthynnus alletteratus	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	29	16
99	Alepisaurus ferox	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	29	16
100	Gasterochisma melampus	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	29	9
101	Alosa alosa	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	29	10
102	Conger esculentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	29	2
103	Grammatorcynus bicarinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	29	2
104	Grammatorcynus bilineatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
106	Gymnosarda unicolor	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	29	4
107	Katsuwonus pelamis	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	29	7
