FBC:FB:SPECCODE:271	Carassius auratus auratus	NCBI:763460	Carassius auratus
	Lucifer typus	WD:Q4483748	Lucifer typus
	Diptera	NCBI:1187315	Diptera
	Diptera	NCBI:1187366	Diptera
	Epimeria  spp.	NCBI:1903741	Epimeria
	Acartia spp.	WORMS:346043	Acartia
EOL:468029	Helianthus tuberosus	GBIF:3119175	Helianthus tuberosus
	Synodontis	OTT:4138547	Synodontis
	BRACHYCERA SPP	NCBI:1187366	Diptera
	aquatic trichopterans	GBIF:6006934	Trichoptera
	SIPHONOPHORA	OTT:5005171	Siphonophora
	Gonodactylus oerstedi	GBIF:2214275	Gonodactylus
	Pipterous larva	NCBI:1187397	Diptera
NODC:61830602	Paguridae (hermit crab) Pagurus sp.	IRMNG:1346127	Pagurus
	sea squirts	NCBI:30281	Molgula manhattensis
	Speocarcinus meloi	GBIF:9060621	Speocarcinus meloi
	Brachycera sp.	NCBI:7147	Diptera
	Nueroptera	OTT:81974	Neuroptera
	Hyperia	IRMNG:1380863	Hyperia
	unidenified dipterans	NCBI:1187316	Diptera
	TEMORA SPP	GBIF:2114299	Temora
	heteromastus	IRMNG:1284747	Heteromastus
	Lyonsia californica	WD:Q13920694	Lyonsia nesiotes
	Periclemenes americanus	WORMS:107035	Periclimenes
	Uca sp.	GBIF:8587686	Uca
	aquatic stoneflies	NCBI:1187814	Plecoptera
	Dipteran larvae	NCBI:1187317	Diptera
	Sphaerocystis	IRMNG:1121109	Sphaerocystis
	Coryphaenoides	WORMS:126256	Coryphaenoides
	CORYSTES CASSIVELAUNUS	GBIF:5178288	Corystes cassivelanus
	hymenoptera	NCBI:1187561	Hymenoptera
	Green algae	WD:Q756	Plantae
	Scarus	NCBI:1236066	Scarus
	CLUPEIDAE	EOL:24696	Etrumeus
	Megalops (Paguridae)	GBIF:2346650	Megalops
	Eunice sp.	GBIF:7809555	Eunice
	Sarotherodon spp.	OTT:3636469	Sarotherodon
	rice	ITIS:41975	Oryza
	Cancer spp.	WORMS:106876	Cancer
ITIS:6720	Acrosiphoniaceae	WD:Q7879744	Ulotrichaceae
	arrowworms	IRMNG:237	Chaetognatha
	Cyclops	GBIF:2113658	Cyclops
FBC:FB:SPECCODE:1804	Ichthyococcus ovatus	GBIF:9182752	Ichthyococcus ovatus
	Alpheus normani	OTT:544858	Alpheus normanni
	Dipteran (not Chironomidae)	NCBI:1187376	Diptera
	coleopterans	NCBI:1187194	Coleoptera
	Squilla? sp.	IRMNG:1321715	Squilla
	Zostera	WORMS:144233	Zostera
	Small crustaceans	OTT:4809405	Small
FBC:FB:SPECCODE:4695	Hypseleotris swinhonis	OTT:3636857	Micropercops cinctus
	Bryopsis	IRMNG:1332860	Bryopsis
	mosquito	NCBI:1187311	Diptera
	mosquito	NCBI:1187345	Diptera
	Synodontis spp.	NCBI:1273047	Synodontis
	Gammarus tigrinus	GBIF:2218440	Gammarus
	Small cladocerans	OTT:4809416	Small
	Lumbricus terrestris	OTT:366206	Lumbricus terrestris
	Bosmina	ITIS:684611	Bosmina
	Odonata nymph	NCBI:1187812	Odonata
	Thunnus	WD:Q2346039	Thunnus
	Hediste diversicolor	NCBI:575914	Hediste diversicolor
	salmon	IRMNG:11385888	Salmo pallaryi
	Astropecten irregularis	IRMNG:11902288	Astropecten irregularis
EOL:421	Diptera	OTT:4513074	Diptera
	Terreblides stroemi	OTT:976565	Terebellides stroemii
	Brachycera	NCBI:1187307	Diptera
	small sharks	NCBI:415359	Small
	Holothuria sp.	NCBI:566280	Holothuria
	Crenicichla sp.	OTT:663221	Crenicichla
